seed,loss,bestValidationScore,testR2
6038,0.013731549467554822,0.9725393633503651,0.9721753373296848
7863,0.01303729716107933,0.9760203204339639,0.9742726357824862
7985,0.013001012499735766,0.974873674629599,0.976647381916775
772,0.01254824367073754,0.9723721503605335,0.9740550080756876
6195,0.01291382351859753,0.9737145587279006,0.978256407157969
4667,0.013336835382489337,0.9747775504344832,0.9753942178980143
6661,0.014023282344131376,0.9719725720238066,0.9749941896637172
6349,0.0134800145385273,0.9756699538158303,0.9764007818951804
7747,0.013349136813313756,0.9759522219664851,0.9783846989379125
7088,0.013397288089908175,0.9749853506226485,0.973566309139786
1676,0.013419856188214688,0.975863427560034,0.9739676211097711
4132,0.013069165701530402,0.9761329037513756,0.9734495613754297
9080,0.012568227322978812,0.9727723098490234,0.9733432688879645
7703,0.01291518552774914,0.9726011691078714,0.9742456044559801
8469,0.013656679071687244,0.9756142936568927,0.976552800625071
6766,0.013492503814645984,0.9756584301243084,0.975091615496911
4821,0.013246073816346406,0.9741574912165349,0.975584183259541
242,0.012847290011141826,0.9759125146944191,0.97371793455022
8854,0.013388525843381759,0.9770317603809312,0.9758835688378751
7967,0.0138763998332515,0.9743933499858972,0.9757840917772652
6848,0.01324939480378609,0.9763214563391956,0.972906516806055
5265,0.013200131466620373,0.9723284051635055,0.971393074160552
8341,0.013574562084928904,0.973514360913048,0.9737878067625317
