hiddenLayerSize,trainTime,loss,bestValidationScore
"[25, 25, 25]",0:00:16,0.014131532654637752,0.9728647054998251
"[25, 25, 25, 25]",0:00:22,0.013223070253650755,0.9729343284659611
"[25, 25, 25, 25, 25]",0:00:14,0.013242390900369275,0.9737713625799387
"[30, 30]",0:00:09,0.0150481002190382,0.9716483713093095
"[30, 30, 30]",0:00:10,0.014609526946234673,0.9724436112109055
"[30, 30, 30, 30]",0:00:15,0.01313551194870413,0.970399819996969
"[30, 30, 30, 30, 30]",0:00:17,0.013096937042520893,0.9745965126354358
"[35, 35]",0:00:14,0.014256973066495038,0.9686943178865329
"[35, 35, 35]",0:00:20,0.012977128810731979,0.9750483114314226
"[35, 35, 35, 35]",0:00:22,0.012786358643163317,0.9732911152899758
"[35, 35, 35, 35, 35]",0:00:19,0.012892983949716458,0.9754692806228243
"[40, 40]",0:00:19,0.014277946397290072,0.9727587073094327
"[40, 40, 40]",0:00:09,0.014860472499877672,0.9662767763923531
"[40, 40, 40, 40]",0:00:22,0.013139013535219825,0.9773242526151789
"[40, 40, 40, 40, 40]",0:00:17,0.013526013551448822,0.9716120800488174
"[45, 45]",0:00:11,0.015307364109804022,0.9694747678244285
"[45, 45, 45]",0:00:20,0.013085082643404673,0.9745783977376833
"[45, 45, 45, 45]",0:00:19,0.01353011776499783,0.9752369016238779
"[45, 45, 45, 45, 45]",0:00:30,0.013030317067690596,0.9746499121653208
"[50, 50]",0:00:15,0.014667907056083125,0.9719093898358944
"[50, 50, 50]",0:00:22,0.013016430866152442,0.9756735730788934
"[50, 50, 50, 50]",0:00:15,0.013570335078592526,0.9742542316023064
"[50, 50, 50, 50, 50]",0:00:27,0.013234785853446474,0.9758292772081262
"[15, 15]",0:00:10,0.01599537566587487,0.9652548760871876
"[15, 15, 15]",0:00:09,0.01534268784855891,0.9686731711532536
"[15, 15, 15, 15]",0:00:18,0.014436288234079551,0.9715925194227023
"[15, 15, 15, 15, 15]",0:00:12,0.01475275072232772,0.9710510824737874
"[20, 20]",0:00:16,0.015317194240348503,0.9700433211044724
"[20, 20, 20]",0:00:21,0.013374436003749485,0.9756338573762925
"[20, 20, 20, 20]",0:00:19,0.01304186422014762,0.9740288998424145
"[20, 20, 20, 20, 20]",0:00:17,0.01351144835364078,0.9746219154889898
"[25, 25]",0:00:09,0.015740761935620157,0.9709326329437141
"[25, 25, 25]",0:00:24,0.01321938957557406,0.9733246987233793
"[25, 25, 25, 25]",0:00:13,0.013684307750612211,0.9708292915989846
"[25, 25, 25, 25, 25]",0:00:21,0.013095983508152102,0.9756326094082263
"[30, 30]",0:00:12,0.014995817786554174,0.9690644965872921
"[30, 30, 30]",0:00:14,0.013543534245763883,0.9740281920778958
"[30, 30, 30, 30]",0:00:21,0.012896517843887744,0.9738342054573499
"[30, 30, 30, 30, 30]",0:00:23,0.01299607324660859,0.9757806934278875
"[35, 35]",0:00:13,0.015016508339859177,0.9710999515476537
